'schluessel','lfdnr','baumnr','ortsteil','plz','strasse','hausnr','xkoord','ykoord','l_geogr','b_geogr','bsgroesse','baumartbot','baumartdt','buegel','buegelerf','bsmulch','bssplitt','bserw','bsfraesen','material','bemerk','status','id','version','pflanzp','spendenstatus','reserviert_bis'
'0814H005','5','99','Neukölln','12059','Harzerstraße','ggü. 39-46','28104.21','17487.72',13.450322935078700000,52.484414400293400000,'4,00x2,00','Tilia cordata \'Greenspire\'','Winterlinde','','4m nach links vers.','3','','1m. Stamm steht','','','8,00',NULL,8787,0,5,NULL,NULL
'0312H084','84',' 1/2 - 0060','Prenzlauer Berg','10439','Rodenbergstraße','1','24948.39','25695.78',13.414548441499999143,52.551397235499997862,'3','Prunus serrul.\"Amanogawa\"','Säulen-Zierkirsche','','2','','x','','3','','Stubben sichtbar','GEPFLANZT',683,0,1,'',NULL
'0312H085','85',' 2/1 - 0061','Prenzlauer Berg','10439','Rodenbergstraße','2','24938.41','25688.43',13.414430935200000405,52.551307159600000318,'3','Prunus serrul.\"Amanogawa\"','Säulen-Zierkirsche','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',684,0,1,'',NULL
'0312H086','86',' 2/3 - 0063','Prenzlauer Berg','10439','Rodenbergstraße','2','24932.40','25705.27',13.414681816199999886,52.551253689600002872,'2,5','Prunus serrul.\"Amanogawa\"','Säulen-Zierkirsche','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',685,0,1,'',NULL
'0312H087','87',' 2/4 - 0101','Prenzlauer Berg','10439','Rodenbergstraße','2','24929.20','25714.55',13.414829369999999642,52.551226993999996751,'3','Prunus serrul.\"Amanogawa\"','Säulen-Zierkirsche','','2','','x','','2','','','GEPFLANZT',686,0,1,'',NULL
'0312H088','88',' 2/5 - 0106','Prenzlauer Berg','10439','Rodenbergstraße','2','24926.60','25720.75',13.414917910899999853,52.551209179200000676,'3','Prunus serrul.\"Amanogawa\"','Säulen-Zierkirsche','','2','','x','','2','','','GEPFLANZT',687,0,1,'',NULL
'0312H089','89',' 2/6 - 0107','Prenzlauer Berg','10439','Rodenbergstraße','2','24924.48','25727.72',13.415021237399999521,52.551182404300000428,'3','Prunus serrul.\"Amanogawa\"','Säulen-Zierkirsche','','2','','x','','2','','','GEPFLANZT',688,0,1,'',NULL
'0312H090','90',' 4/2 - 0004','Prenzlauer Berg','10439','Rodenbergstraße','4','24921.34','25735.77',13.415139306000000374,52.551155655599998795,'3','Prunus serrul.\"Amanogawa\"','Säulen-Zierkirsche','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',689,0,1,'',NULL
'0312H091','91',' 1/1 - 0001','Prenzlauer Berg','10439','Tegnerstraße','1','25272.21','25388.75',13.410008173699999645,52.554300655200002268,'3','Tilia cordata \" Greenspire\"','Winterlinde','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',690,0,1,'',NULL
'0312H092','92',' 8/1 - 0010','Prenzlauer Berg','10439','Tegnerstraße','8','25303.64','25380.80',13.409888809699999968,52.554588005900001235,'3','Tilia cordata \" Greenspire\"','Winterlinde','','2','','x','','2','','','GEPFLANZT',691,0,1,'',NULL
'0312H093','93',' 8/2 - 0005','Prenzlauer Berg','10439','Tegnerstraße','8','25288.68','25379.14',13.409859986700000789,52.554453155099999151,'3','Tilia cordata \" Greenspire\"','Winterlinde','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',692,0,1,'',NULL
'0312H094','94',' 1/10 - 0059','Prenzlauer Berg','10437','Ystader Straße','1','24565.71','25059.25',13.405174773700000657,52.547947219500002802,'3','Acer rubrum','Rot-Ahorn','','2','','x','','2','','','GEPFLANZT',693,0,1,'',NULL
'0312H095','95',' 9/2 - 0056','Prenzlauer Berg','10437','Ystader Straße','9','24687.39','25030.81',13.404756535400000672,52.549033808300002590,'2','Acer rubrum','Rot-Ahorn','','2','','x','','2','','','GEPFLANZT',694,0,1,'',NULL
'0312H096','96',' 9/3 - 0018','Prenzlauer Berg','10437','Ystader Straße','9','24699.87','25027.74',13.404711721299999994,52.549150549399996635,'3','Acer rubrum','Rot-Ahorn','','2','','x','','3','','Stubben sichtbar','GEPFLANZT',695,0,1,'',NULL
'0312H097','97',' 11/1 - 0019','Prenzlauer Berg','10437','Ystader Straße','11','24684.03','25017.27',13.404550288199999386,52.549006462100003034,'4','Acer rubrum','Rot-Ahorn','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',696,0,1,'',NULL
'0312H098','98',' 12/1 - 0021','Prenzlauer Berg','10437','Ystader Straße','12','24638.66','25028.29',13.404714485499999554,52.548602375500003347,'3','Acer rubrum','Rot-Ahorn','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',697,0,1,'',NULL
'0312H099','99',' 12/3 - 0055','Prenzlauer Berg','10437','Ystader Straße','12','24618.25','25033.17',13.404789144400000467,52.548413797999998565,'2','Acer rubrum','Rot-Ahorn','','2','','x','','2','','','GEPFLANZT',698,0,1,'',NULL
